,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
167,5/12/21,Westchester,0.5,03:33.3,188,194,7:04,5:56,1.21,03:33.3,1,03:33.3,03:33.3,34,
1142,7/11/18,Westchester,3.01,0:23:45,170,180,7:54,4:56,1.2,00:00.0,4,0:23:45,0:23:46,42,Good
1061,10/8/18,Westchester,2.59,0:20:23,170,174,7:53,6:44,1.2,00:00.0,3,0:20:23,0:20:23,14,Good
687,6/26/19,Westchester,3.01,0:23:21,174,184,7:46,4:31,1.2,00:02.7,4,0:23:08,0:23:21,61,Moderate
843,3/19/19,Westchester,3.27,0:25:23,174,192,7:46,5:43,1.2,02:11.7,4,0:25:14,0:25:23,43,Good
920,1/8/19,Westchester,2.29,0:17:38,174,178,7:42,6:54,1.2,00:00.0,3,0:17:38,0:17:38,18,Good
647,9/1/19,Middlesex,4.01,0:30:36,176,184,7:38,5:58,1.2,00:02.4,5,0:30:35,0:33:13,31,Good
621,10/5/19,Middlesex,7.18,0:53:15,180,194,7:25,6:45,1.2,01:16.5,8,0:53:13,0:53:15,29,Good
540,9/12/20,Middlesex,0.2,01:25.0,188,202,7:09,5:55,1.2,01:25.0,1,0:01:24,01:25.0,32,Good
485,10/4/20,Middlesex,0,00:00.8,170,170,7:58,10:12,1.19,00:00.8,1,0:00:00,00:00.8,31,Good
1066,10/2/18,Westchester,3.53,0:27:58,170,188,7:55,5:03,1.19,00:00.0,4,0:27:58,0:27:58,33,Good
956,12/14/18,Westchester,1.99,0:15:27,174,190,7:45,5:47,1.19,00:00.0,2,0:15:26,0:15:27,29,Good
781,4/11/19,Westchester,1.25,09:39.8,176,184,7:44,5:21,1.19,02:04.0,2,09:37.8,09:39.8,36,Good
760,4/21/19,Westchester,2.01,0:15:25,176,184,7:41,4:21,1.19,00:02.0,3,0:15:15,0:15:25,42,Good
226,3/24/21,Middlesex,0.51,03:43.0,186,192,7:16,6:23,1.19,03:43.0,1,03:43.0,03:43.0,,
213,3/29/21,Middlesex,0.51,03:32.7,194,196,6:58,6:41,1.19,03:32.7,1,03:32.7,03:32.7,,
1054,10/16/18,Westchester,0.3,02:25.1,170,174,8:03,6:56,1.18,00:00.0,1,0:02:23,04:43.0,25,Good
1115,8/16/18,Westchester,3.29,0:26:26,170,192,8:02,5:42,1.18,00:00.0,4,0:26:26,0:26:26,60,Moderate
209,3/31/21,Middlesex,0,00:01.4,172,172,7:56,9:42,1.18,00:01.4,1,0:00:00,00:01.4,,
1057,10/14/18,Westchester,2.79,0:22:01,172,184,7:54,5:52,1.18,00:00.0,3,0:22:01,0:24:45,29,Good
812,4/2/19,Westchester,1.01,07:53.8,174,184,7:51,6:19,1.18,00:02.4,2,0:07:46,07:53.8,44,Good
347,11/29/20,Westchester,5.01,0:39:04,176,182,7:48,6:21,1.18,00:02.0,6,0:39:03,0:39:36,35,Good
866,2/28/19,Westchester,3.29,0:25:37,174,188,7:47,2:52,1.18,02:10.2,4,0:25:26,0:25:37,39,Good
