Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,8/15/18 10:05,FALSE,Ossining Running,4.01,366,0:40:23,168,180,10:05,4:50,108,107,0.95,0,0,0,0,0,0:00,0,0:00,No,00:00.0,5,0,0:39:25,0:40:23,365,409
Running,4/6/21 18:43,FALSE,Waltham Running,0.77,71,07:48.0,176,192,10:04,9:11,--,--,0.91,0,0,0,0,0,0:00,0,0:00,No,07:48.0,1,0,0:07:48,07:48.0,39,45
Running,11/28/18 16:21,FALSE,Running,0.82,75,08:12.7,172,180,10:04,8:05,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,0:08:04,08:12.7,--,--
Running,7/25/21 7:56,FALSE,Waltham Running,1.03,109,0:10:22,172,178,10:03,9:35,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,00:18.7,2,0,0:10:22,0:10:22,39,45
Running,5/30/21 12:19,FALSE,Waltham Running,8.96,857,1:30:05,176,190,10:03,6:21,23,129,0.91,0,0,0,0,0,0:00,0,0:00,No,09:30.3,9,0,1:30:01,1:38:35,3,117
Running,8/4/21 6:33,FALSE,Ossining Running,1.56,167,0:15:39,172,174,10:03,1:46,7,7,0.94,0,0,0,0,0,0:00,0,0:00,No,05:19.4,2,0,0:15:39,0:15:39,307,318
Running,7/27/21 6:41,FALSE,Waltham Running,1.56,165,0:15:38,174,178,10:02,9:34,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,05:27.7,2,0,0:15:37,0:15:38,39,45
Running,1/18/21 15:10,FALSE,Ossining Running,0.51,53,05:04.4,172,176,10:02,8:19,--,3,0.93,0,0,0,0,0,0:00,0,0:00,No,05:04.4,1,0,0:05:04,05:04.4,318,330
Running,10/29/20 19:02,FALSE,Running,0.51,47,05:03.2,168,172,10:00,8:41,--,--,0.96,0,0,0,0,0,0:00,0,0:00,No,05:03.2,1,0,0:05:03,05:03.2,--,--
Running,7/30/21 18:04,FALSE,Running,1.51,161,0:15:01,172,176,9:58,8:58,--,--,0.94,0,0,0,0,0,0:00,0,0:00,No,04:58.2,2,0,0:15:01,0:15:01,--,--
Running,9/12/20 14:20,FALSE,Running,0.53,49,05:14.7,166,182,9:57,8:46,--,--,0.97,0,0,0,0,0,0:00,0,0:00,No,05:14.7,1,0,05:14.7,07:19.2,--,--
Running,11/29/18 15:56,FALSE,Running,1.78,161,0:17:42,168,182,9:56,6:41,--,--,0.96,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:17:42,0:17:42,--,--
Running,11/21/20 16:53,FALSE,Running,0.48,45,04:46.8,168,172,9:55,9:03,--,--,0.97,0,0,0,0,0,0:00,0,0:00,No,04:46.8,1,0,04:46.8,04:46.8,--,--
Running,3/14/21 18:42,FALSE,Running,0.28,28,02:44.3,174,186,9:55,8:39,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,02:44.3,1,0,0:02:44,02:44.3,--,--
Running,12/1/20 16:10,FALSE,Running,0.06,5,00:33.2,172,192,9:55,5:10,--,--,0.94,0,0,0,0,0,0:00,0,0:00,No,00:33.2,1,0,00:33.2,00:33.2,--,--
Running,1/23/21 15:30,FALSE,Ossining Running,0.52,52,05:05.3,172,194,9:53,9:20,--,--,0.95,0,0,0,0,0,0:00,0,0:00,No,05:05.3,1,0,0:05:05,05:05.3,307,318
Running,11/24/20 18:40,FALSE,Ossining Running,0.25,22,02:26.5,176,190,9:52,9:29,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,02:26.5,1,0,02:26.5,02:26.5,240,244
Running,7/19/21 7:28,FALSE,Waltham Running,1.57,147,0:15:29,174,186,9:52,9:13,3,--,0.93,0,0,0,0,0,0:00,0,0:00,No,05:22.3,2,0,0:15:28,0:15:29,39,45
Running,3/17/21 17:09,FALSE,Running,0.38,39,03:46.9,174,180,9:52,8:43,--,--,0.94,0,0,0,0,0,0:00,0,0:00,No,03:46.9,1,0,03:46.9,03:46.9,--,--
Running,11/28/20 18:18,FALSE,Running,0.55,51,05:25.2,170,202,9:51,8:30,--,--,0.96,0,0,0,0,0,0:00,0,0:00,No,05:25.2,1,0,0:05:25,05:25.2,--,--
Running,7/28/21 7:05,FALSE,Waltham Running,1.04,109,0:10:12,174,176,9:51,8:30,--,--,0.94,0,0,0,0,0,0:00,0,0:00,No,00:19.8,2,0,0:10:11,0:10:12,39,45
Running,8/2/21 7:03,FALSE,Ossining Running,1.56,169,0:15:25,172,176,9:51,6:17,--,5,0.95,0,0,0,0,0,0:00,0,0:00,No,05:23.4,2,0,0:15:25,0:15:25,307,318
